id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018
317,0,1,0,2,1,0,1,0
318,2,2,2,7,3,1,0,1
319,5,13,4,3,5,13,12,6
320,1,14,5,3,2,0,3,6
321,1,2,1,2,1,2,2,0
322,0,0,0,0,0,0,1,0
323,2,2,1,1,0,9,3,3
324,0,1,2,0,0,0,0,1
325,0,4,2,0,2,2,3,0
326,2,0,0,0,0,1,2,3
327,0,2,1,3,1,18,2,4
328,5,2,2,3,4,3,4,6
329,2,3,0,2,0,9,1,0
330,2,2,0,0,1,3,0,0
331,17,34,51,29,35,26,34,27
332,3,0,1,0,0,0,0,0
333,0,1,0,1,1,0,12,1
334,22,8,23,27,40,36,15,33
335,3,3,2,6,3,8,5,6
336,2,7,2,2,14,7,14,16
337,1,0,1,0,2,0,1,1
338,4,7,3,8,11,7,12,35
339,8,15,13,27,32,39,28,29
340,76,81,117,61,66,127,85,85
341,179,101,65,87,87,107,69,88
342,141,218,199,151,161,202,179,171
343,4,9,8,11,14,9,9,11
344,9,3,3,6,4,3,9,3
345,1,1,0,2,8,4,4,4
346,6,5,1,7,12,16,9,8
347,7,88,10,2,7,2,3,2
348,5,7,6,2,1,1,0,10
349,2,3,0,0,1,0,2,3
350,2,3,7,1,5,3,8,7
351,0,0,0,0,0,1,0,1
352,0,17,1,0,1,2,0,3
353,4,6,3,7,2,4,1,1
354,13,14,17,6,6,22,27,9
355,42,44,48,49,58,58,58,43
356,11,19,14,14,19,22,15,8
357,13,4,3,3,12,19,13,6
358,93,120,100,111,132,185,105,134
359,1,1,2,1,2,8,5,3
360,0,2,1,0,1,3,3,2
361,15,14,8,18,16,18,15,29
362,3,7,22,12,6,13,14,4
363,11,16,18,29,23,21,26,24
364,5,13,16,15,12,4,9,8
365,1,5,5,2,4,6,2,1
366,18,14,12,15,14,23,12,18
367,84,80,61,95,46,64,86,57
368,18,37,30,29,23,28,36,24
369,8,5,2,20,7,9,7,4
370,49,8,24,22,17,13,31,25
371,16,24,10,15,16,12,26,26
372,3,20,7,8,2,3,3,2
373,6,10,5,7,4,7,5,7
374,4,3,1,0,7,7,5,5
375,4,5,4,1,5,0,6,1
376,0,1,0,1,1,0,3,2
377,1,0,0,0,2,4,0,2
378,18,10,18,7,13,15,28,14
379,5,1,3,10,1,3,6,8
380,2,3,1,0,3,4,3,2
381,8,18,12,6,24,33,13,21
382,6,18,3,13,6,13,3,8
383,9,9,3,58,9,6,49,7
384,75,101,107,132,149,139,199,161
385,15,21,29,44,30,10,7,5
386,5,7,2,3,5,9,6,13
387,29,42,22,45,36,28,26,24
388,7,11,3,16,10,34,27,40
389,23,26,32,37,17,24,15,18
390,16,4,7,4,4,2,5,9
391,0,0,1,0,1,0,0,0
392,53,32,41,47,38,48,45,85
393,32,31,33,46,54,68,47,40
394,31,2,9,7,2,6,2,1
395,8,30,8,10,22,11,8,30
396,4,1,1,0,0,1,3,1
397,11,109,35,21,8,3,2,1
398,110,3,1,2,2,3,1,1
399,11,10,13,27,18,19,8,9
400,1,1,0,1,2,2,5,0
401,2,4,25,3,0,5,1,2
402,2,1,2,0,1,1,0,1
403,5,7,8,6,8,11,4,11
404,2,6,9,3,7,7,3,3
405,3,1,1,1,3,3,5,4
406,3,4,2,5,4,3,1,4
407,8,5,4,3,9,9,4,5
408,4,3,1,3,4,7,4,3
409,9,4,6,4,7,9,5,2
410,8,7,12,4,9,21,3,6
411,1,4,6,52,5,40,43,15
412,10,6,5,4,3,6,1,6
413,1,0,2,5,1,2,2,2
416,13,6,8,14,7,7,6,10
417,0,0,2,4,1,2,4,0
418,13,6,8,2,11,21,10,8
419,1,2,1,0,1,1,0,3
420,6,6,5,8,5,10,5,4
421,0,1,0,1,1,0,1,1
422,26,26,28,47,39,50,42,41
423,4,2,3,2,2,2,2,5
424,6,4,10,6,2,1,0,2
425,0,1,0,0,0,0,0,0
426,0,9,16,13,6,7,11,15
428,2,0,0,2,1,2,4,1
430,1,16,2,0,8,3,2,4
431,1,0,0,2,0,0,1,0
432,1,2,0,1,1,2,4,1
433,0,0,0,1,0,0,0,0
434,3,3,6,4,3,3,4,1
435,0,2,0,4,1,1,1,0
436,1,0,1,1,1,2,3,3
437,2,6,4,4,2,3,23,14
438,3,6,8,5,10,38,20,10
442,1,2,1,1,0,2,3,1
443,0,0,2,0,1,5,0,0
444,2,0,1,1,0,0,0,0
445,0,0,0,0,2,3,2,1
446,0,0,0,0,0,0,0,0
447,3,1,2,1,2,0,3,3
448,17,25,17,47,24,18,11,14
449,1,0,3,4,2,8,4,12
450,2,1,3,2,3,1,8,3
451,1,1,5,5,1,4,8,3
452,4,6,16,3,5,10,9,25
453,5,4,2,5,10,2,4,2
454,6,2,2,8,7,2,7,1
455,0,2,0,3,1,0,1,0
456,6,17,40,47,63,63,49,37
457,0,3,3,0,0,0,0,0
458,3,5,2,0,0,1,2,3
459,1,0,2,1,1,0,2,0
460,7,9,14,7,10,21,11,14
462,4,4,1,4,9,6,4,0
463,1,6,2,1,7,5,16,3
464,2,4,2,3,7,3,3,2
465,4,1,0,3,3,1,1,2
466,5,3,2,1,1,3,1,1
467,16,11,9,14,17,17,5,9
468,3,6,7,14,18,7,4,1
469,1,4,1,0,0,1,8,0
470,5,2,3,8,12,9,76,8
471,5,9,8,10,11,12,5,6
472,3,0,2,1,0,10,0,8
473,21,15,34,21,72,33,20,14
474,8,7,34,4,6,20,7,3
475,4,4,18,10,9,3,3,4
