id,y_2010,y_2012,y_2014,y_2015,y_2016,y_2017,y_2018
364,1124,1696,1256,910,1707,1054,1582
365,263,602,351,167,638,246,517
366,130,306,163,67,347,125,280
367,1161,2481,1496,730,2986,1090,2424
368,606,1200,675,234,1284,356,865
369,235,576,238,63,444,100,261
370,355,1064,483,131,1001,186,516
371,1592,2970,1756,713,2738,886,1839
372,3000,5675,3464,1130,6031,1920,4824
373,1122,1577,1165,675,1654,850,1394
374,624,1264,738,277,1177,344,754
375,1148,1676,1197,663,1698,913,1500
376,933,1801,1099,333,1931,578,1451
377,1367,2564,1610,527,2835,893,2194
378,1467,2524,1759,1037,2853,1424,2644
379,1510,2439,1621,770,2525,981,2123
380,1984,3292,2123,1062,3277,1419,2870
381,674,1517,920,348,1865,614,1518
382,393,1183,530,187,1249,342,910
383,692,1387,767,344,1325,489,1061
384,382,866,536,191,1966,787,2630
385,731,1968,1000,298,1800,392,1192
386,369,920,555,198,916,293,757
387,527,1189,637,191,1111,298,721
388,379,832,474,160,1172,513,1325
389,1444,2497,1573,627,2756,785,1818
390,252,577,323,109,637,183,512
391,1047,1523,1068,606,1502,780,1350
392,3327,5306,3843,2361,5717,3005,4855
393,1451,2839,1674,759,3051,1104,2410
394,618,1166,693,307,1267,459,984
395,531,862,582,150,1000,298,913
396,667,1234,729,76,1402,176,1043
397,159,483,243,33,725,56,470
398,136,332,212,40,442,80,355
399,369,857,536,103,1090,170,779
400,982,1548,989,262,1474,532,1355
401,682,1110,688,141,1149,278,893
402,599,918,583,128,920,242,709
403,557,977,704,156,1145,270,1023
404,404,788,454,159,810,229,601
405,640,1486,772,161,1667,233,1188
406,811,1267,940,202,1459,309,1070
407,551,953,601,168,1015,264,839
408,974,1612,1138,335,1657,497,1485
409,1015,1597,1170,386,1673,515,1417
410,389,721,454,96,833,206,718
411,235,652,303,46,704,14,85
412,211,349,227,51,380,70,306
413,1002,1874,1207,470,1957,419,1466
416,159,484,209,34,606,51,382
417,372,865,496,150,886,149,771
418,719,1479,890,227,1570,240,1189
419,991,1711,1162,460,1739,403,1422
420,790,1391,909,304,1482,315,1203
421,277,662,453,117,950,149,803
422,229,602,296,76,813,133,746
423,574,1042,715,147,1289,319,1257
424,627,944,697,245,990,306,730
425,407,708,483,95,768,180,688
426,469,922,547,110,994,222,776
428,386,654,476,128,784,187,694
430,335,1016,551,155,1258,264,1073
431,391,796,468,87,795,143,651
432,815,1444,949,237,1460,415,1180
433,350,577,388,87,571,193,492
434,737,1416,1020,175,1855,268,1654
435,263,394,280,80,412,101,325
436,399,761,457,79,788,126,596
437,519,1314,855,282,1887,403,1805
438,246,677,648,248,1417,555,1440
442,430,799,472,70,870,114,599
443,390,654,370,45,664,118,637
444,485,966,538,60,1072,119,787
445,825,1597,992,345,1595,338,1273
446,251,639,369,119,720,96,523
447,509,1110,642,197,1445,265,1302
448,504,1170,687,132,1596,254,1130
449,859,1366,1012,369,1434,589,1358
450,1016,1879,1189,397,2098,430,1720
451,1069,1994,1396,294,2403,1079,2065
452,423,784,506,205,860,171,598
453,386,788,443,300,845,375,630
454,508,819,537,158,826,204,682
455,694,1082,715,148,1122,190,785
456,471,663,473,90,620,346,799
457,447,653,461,130,618,229,556
458,272,547,335,79,574,152,442
459,677,1290,785,132,1314,306,1077
460,732,1342,866,211,1432,405,1194
462,366,852,537,142,1149,212,1048
463,396,810,480,196,798,206,609
464,952,1822,1134,340,2140,398,1670
465,252,530,311,83,561,138,449
466,552,1178,680,206,1195,207,851
467,499,1011,607,152,1077,171,834
468,101,141,341,25,902,61,96
469,664,1075,818,254,1164,622,1011
470,655,1024,723,182,1173,353,936
471,478,1056,584,210,1225,404,1070
472,462,729,513,206,798,267,690
473,532,1003,663,210,1165,605,996
474,618,1161,701,199,1271,349,998
475,802,1219,983,449,1398,997,1299
